,id,date,time,user_id,username,name,tweet,language,link
294,1641289031760879616,2023-03-30,10:59:33,1746818690,quisestnrd,-(∞) ⬛🟩,"@tanyakanrl ""Terus kita patut bangga dengan pujian orang-orang luar? Apa kita harus selalunya muja-muja bule, nurut apa kata bule, ngejilatin p– mereka terus? Liat tuh, kandas mimpi anak-anak orang yang pengen mengharumkan nama bangsa di kancah global!""",in,https://twitter.com/QuisEstNRD/status/1641289031760879616
295,1641285843754295297,2023-03-30,10:46:53,1361621223961108481,bukanbayibiasaa,Rayyanjay,@Heriitsvirgo1 @snugakrunk @detikcom @detikbali_ ya susah kalo gitu namanya orang susah diprediksi bro wkwk lagian fenomena bule bangsat ke bali baru baru ini,in,https://twitter.com/bukanbayibiasaa/status/1641285843754295297
296,1641252875719561216,2023-03-30,08:35:53,1535456110651420672,triviena1,Tri Viena,Dukungan Anies pada politik identitas bukan ermian seorang contoh negarawan yang baik bagi Indonesia karena sikapnya bisa merusak kerukunan bangsa  BREAKING NEWS TAMBAH LUCU Kanjuruhan Puas FIFA Israel Palestina Bali Iwan Bule Qatar Mahfud Hokky Pak Erick Kyuhyun Lebay #LISA  https://t.co/6A8mZapGBN,in,https://twitter.com/TriViena1/status/1641252875719561216
297,1641245766080675840,2023-03-30,08:07:38,1263789338111827970,erabaru19,Adi Pemoengkaz,"Dan dari kasus U20 ini, Sy kok ga percaya bangsa ini pernah dijajah negara bule 350th. Kemungkinannya, yg menjajah itu bangsa kita sendiri. Orang Bule diajak masuk dan diajak turut campur oleh penguasa² nusantara waktu itu. Dan skr dijajah para koruptor kakap. Maaf kalo keliru🙏",in,https://twitter.com/EraBaru19/status/1641245766080675840
298,1641189901126488064,2023-03-30,04:25:38,1222076785736601600,yudiwhy_,whyme,"Solidaritas boleh tapi ga usah membunuh mimpi anak bangsa juga dong, kasian mereka udah persiapan dari 2020. Heran aja bule bule yang datang ga ngehargain budaya lu masih lu bela di bilang ga usah di viral in ,ini orang mau main bola lu larang. Sekali lagi saya benci negara saya",in,https://twitter.com/yudiwhy_/status/1641189901126488064
299,1641167342544748547,2023-03-30,02:56:00,1276880272315674625,cetilcetot,black,Kok ada bule nya ya? Emang yg bule itu anak bangsa mana?,in,https://twitter.com/cetilcetot/status/1641167342544748547
300,1641107651932336128,2023-03-29,22:58:49,1393363555416633347,om_abduel,Abdul lah,"@txtdarisisange Fifa ajang bergengsi bisa bikin naik nama indonesia di mata internasional, mikirin israel palestina, macem tuh orang pada mikirin kita di indonesia aja. Harusnya bangga indo dikenal internasional, ga bosen lu pd muja bule, arab, korea mulu? Kali2 bangga sama bangsa sendiri maszeh",in,https://twitter.com/om_abduel/status/1641107651932336128
301,1640899220910800897,2023-03-29,09:10:35,1602114436831285248,thegeje,Express999,@keuangannews_id Keturunan bule asal jadi WNI mereka juga orang Indonesia. Pernyataan gini ni yg rasis memecah belah bangsa,in,https://twitter.com/thegeje/status/1640899220910800897
302,1640887313092988928,2023-03-29,08:23:16,354694746,haipanjiishere,panji is here,@OnlyFrens mimpi anak bangsa keturunan Bule adalah membela tim nasional medioker. 🤲🏽,in,https://twitter.com/haipanjiishere/status/1640887313092988928
303,1640880966817427456,2023-03-29,07:58:03,1603997349696917531,rdprasetyo_a,rdprasetyo adhi,"@BugBunny1076 Salaah satu warisan kolonialisme yg masih sangat terasa adalah inferioritas thd orang asing ( bule, arab dsb ). Khususon arab, karena satu bangsa dg nabi muhamad, maka diberikan tmp istimewa dlm strata sosial kita. Ayo, kita tidak lebih jelek dan tdk lebih baik. SAMA....",in,https://twitter.com/rdprasetyo_a/status/1640880966817427456
304,1640867626036645889,2023-03-29,07:05:02,1142030368742133760,onlyfrens,Tanjidin,Itu 4 bule mimpi anak bangsa mana?,in,https://twitter.com/OnlyFrens/status/1640867626036645889
305,1640721091428769793,2023-03-28,21:22:45,969993558,goenawangn,GoeN,"@ALTAismyname @kurawa Agree, saya tidak menganggap semua bule bangsat, saya lebih menyoroti bhumiputera yg inferior dan menganggap apapun yg berbau bule selalu wow",in,https://twitter.com/goenawangn/status/1640721091428769793
306,1640712477293051908,2023-03-28,20:48:32,1550213758470868992,mattarmizi4,IWAN BULE,@littlerizh @idextratime sok sokan jaga amanat pendiri bangsa. ngocok aje lu di air air bapak tua boomer kolot @knpiharis,in,https://twitter.com/MATTARMIZI4/status/1640712477293051908
307,1640696571242094599,2023-03-28,19:45:19,1550213758470868992,mattarmizi4,IWAN BULE,@ganjarpranowo bacod lo gubernur perusak mimpi anak bangsa! semoga keturunanmu semua tidak punya mimpi. dan selamanya akan makan uang haram,in,https://twitter.com/MATTARMIZI4/status/1640696571242094599
308,1640678126366920704,2023-03-28,18:32:02,1086240739095306240,jeleiws,jë💙🤍,Lrt BULE TOLOL BANGSAT NGAKAK,in,https://twitter.com/jeleiws/status/1640678126366920704
309,1640664831656357888,2023-03-28,17:39:12,1388179588895838208,skeeletonz,deo hexos,@lezathe bangsat lu bule,in,https://twitter.com/skeeletonz/status/1640664831656357888
310,1640644059755843584,2023-03-28,16:16:40,404529706,alunk_bule,#YaAllohlindungiNegeriKu,Kanjuruhan brapa anak bangsa mati sia2 ente mingkem ......,in,https://twitter.com/Alunk_bule/status/1640644059755843584
311,1640639216215523329,2023-03-28,15:57:25,2576659201,irvanhn_,.,"@GOAL_ID Pas 135 nyawa anak bangsa mimpi-mimpinya menguap bersama gas air mata di Kanjuruhan kalian para pemain timnas malah pilih rame-rame bilang ""ketum bule terbaik"". Giliran terancam gagal main di Pildun U20 rame-rame ngomongin mimpi anak bangsa, kocak",in,https://twitter.com/IrvanHN_/status/1640639216215523329
312,1640609824961622016,2023-03-28,14:00:37,1220005315346743301,kmendaen,af,"@FaktaSepakbola Demi nyindir fifa karena Rusia, kita rela mengubur mimpi anak bangsa. Demi bule kita rela matiin mimpi anak bangsa.",in,https://twitter.com/kmendaen/status/1640609824961622016
313,1640554190123442179,2023-03-28,10:19:33,1499413919387234304,calon_gadunid,Bitter Daddy,"Barusan ribut sama bule muscle di gym karena orangnya ga ada manner sama sekali. Alat lagi kosong di klaim punya dia, udah gitu pas diriku lagi main alat yang lain, eh mau diklaim juga. Bangsat emang",in,https://twitter.com/calon_gadunid/status/1640554190123442179
314,1640492269923868673,2023-03-28,06:13:30,1605887029807439872,sutantobule,Sutanto Bule,@Dennysiregar7 Mau2 nya jadi keset bangsa lain ..,in,https://twitter.com/SutantoBule/status/1640492269923868673
315,1640478573403471873,2023-03-28,05:19:05,1516816199413559296,allya_kristy,allya,@Afeir @Indones1aku ANAKNYA bule jg😂😂😂akal sehat sdh musnah ini orang 2 kasian bgt Masa depan anak bangsa,in,https://twitter.com/Allya_Kristy/status/1640478573403471873
316,1640382163429253120,2023-03-27,22:55:59,1430337231781310474,flatadjang,Farid Maruf Latadjang,"@ekowboy2 Yang jelas bukan Bangsa Kau Ko, klo kau pernah ke jazirah kau akan tau persis siapa dan apa itu Palestine, mereka sangat rasis  jangankan Bule atau kita ras Asia sesama arab saja mereka anggap budak belian,negara2 di sekeliling Palestine yg Islam dan kaya2 aja ogah bantu mereka",in,https://twitter.com/FLatadjang/status/1640382163429253120
317,1640374072289775617,2023-03-27,22:23:50,421762533,laperbacot,ok,"Seharusnya kita bersatu, lihatlah kita udh bagian dari G20, harusnya kita makin semangat buat jadi G5. Masa mau terpecah belah terus cuma gara2 agama. Nenek moyang kita udh bangun candi dari 750 AC ketika org2 bule masih jadi viking. Jangan mau diperbudak sama bangsa lain!!!!",in,https://twitter.com/laperbacot/status/1640374072289775617
318,1640355000940654593,2023-03-27,21:08:03,223133363,lazymusprime,Raja Ribu Jaya,"Setelah nge-bully Iwan Bule karena menjadikan posisi ketum PSSI sebagai batu loncatan politik, netijen kini mendukung sang ketum pengganti memperjuangkan ajang olahraga yang bakal jadi sarana kampanye sang ketum baru, sembari teriak jangan campur politik dengan olahraga. Bangsat!",in,https://twitter.com/LazymusPrime/status/1640355000940654593
319,1640325901069213697,2023-03-27,19:12:25,747681569494732800,lucky_hafner,lucky,@Tita83079013 @ganjarpranowo @PDI_Perjuangan @PKSejahtera Setau kita hari ini bahwa bangsa palestina itu sebagian muslim sebagian lagi kristen bahkan istri yaser arafat pemimpin PLO cewe bule inggris ..perang merrka bukan perang agama perang berebut tanah warisan leluhurnya yaitu ibrahim ...aneh disini ko umat islam ditarik2 .,in,https://twitter.com/lucky_hafner/status/1640325901069213697
320,1640259257307381760,2023-03-27,14:47:36,1076886191117500416,sikumbanglibra,AQUA,"@BosPurwa Adakah orang2 jokowi yg secerdas bule ini... andai saja semua org2 nya secerdas bule ini, dah maju bangsa ini, sejak 10th terakhir.",in,https://twitter.com/Sikumbanglibra/status/1640259257307381760
321,1640223880366419968,2023-03-27,12:27:01,465356974,aditya_putra30,Kim Jong-Os,Bangsa pejuang  Pejuang dr mn klo liat bule nyoba nasgor pd overproud sampe sinting 🤭🤭  Get some help biar kepala lu ga cm hiasan 🤣🤣,in,https://twitter.com/aditya_putra30/status/1640223880366419968
